student_id,gender,part_time_job,extracurricular_activities,previous_grade,grade_category
371,Female,Yes,No,81.4,Good
376,Female,Yes,No,73.5,Good
389,Male,Yes,No,91.0,Good
401,Female,Yes,No,60.6,Good
403,Male,Yes,No,73.0,Good
415,Male,Yes,Yes,48.5,Good
416,Male,Yes,No,83.0,Good
425,Female,Yes,No,58.0,Good
427,Male,Yes,Yes,71.1,Good
436,Female,Yes,Yes,76.4,Good
437,Female,Yes,Yes,63.1,Good
442,Female,Yes,Yes,69.4,Good
443,Male,Yes,No,92.9,Good
445,Female,Yes,Yes,86.2,Good
448,Female,Yes,Yes,82.0,Good
452,Female,Yes,Yes,85.7,Good
461,Female,Yes,Yes,77.1,Good
463,Female,Yes,Yes,81.4,Good
470,Female,Yes,Yes,74.8,Good
477,Male,Yes,No,89.3,Good
479,Male,Yes,No,86.2,Good
483,Male,Yes,No,80.5,Good
486,Female,Yes,Yes,74.9,Good
494,Female,Yes,Yes,70.4,Good
502,Male,Yes,Yes,63.6,Good
506,Male,Yes,Yes,84.7,Good
510,Female,Yes,Yes,60.6,Good
512,Female,Yes,Yes,65.0,Good
515,Female,Yes,Yes,79.6,Good
520,Female,Yes,Yes,56.2,Good
523,Female,Yes,Yes,82.6,Good
525,Female,Yes,Yes,71.7,Good
527,Male,Yes,Yes,66.8,Good
543,Male,Yes,Yes,53.5,Good
559,Female,Yes,No,70.6,Good
568,Female,Yes,Yes,69.2,Good
570,Male,Yes,No,53.1,Good
572,Male,Yes,No,68.5,Good
573,Male,Yes,No,71.2,Good
580,Female,Yes,No,74.2,Good
582,Male,Yes,Yes,72.0,Good
591,Male,Yes,No,64.8,Good
595,Female,Yes,No,86.1,Good
597,Male,Yes,Yes,70.3,Good
601,Male,Yes,Yes,69.1,Good
615,Female,Yes,Yes,73.7,Good
617,Male,Yes,Yes,77.1,Good
625,Male,Yes,Yes,65.4,Good
629,Male,Yes,No,59.7,Good
633,Male,Yes,Yes,76.6,Good
636,Female,Yes,Yes,68.6,Good
645,Female,Yes,No,86.5,Good
660,Female,Yes,Yes,45.7,Good
664,Female,Yes,Yes,81.9,Good
669,Male,Yes,No,91.3,Good
673,Female,Yes,No,79.8,Good
677,Female,Yes,No,73.4,Good
686,Female,Yes,Yes,76.8,Good
694,Female,Yes,No,100.0,Good
702,Female,Yes,Yes,90.3,Good
705,Male,Yes,No,62.5,Good
706,Male,Yes,No,85.4,Good
707,Female,Yes,No,66.9,Good
718,Female,Yes,Yes,70.2,Good
724,Male,Yes,Yes,81.6,Good
743,Female,Yes,No,80.9,Good
744,Male,Yes,No,67.3,Good
746,Female,Yes,No,61.6,Good
747,Male,Yes,Yes,57.3,Good
752,Male,Yes,Yes,86.4,Good
753,Female,Yes,No,93.6,Good
756,Female,Yes,Yes,57.3,Good
758,Male,Yes,Yes,82.6,Good
772,Male,Yes,Yes,63.8,Good
774,Female,Yes,No,74.1,Good
776,Male,Yes,No,33.5,Good
786,Male,Yes,Yes,88.5,Good
793,Male,Yes,Yes,64.5,Good
794,Female,Yes,Yes,72.9,Good
807,Female,Yes,No,69.6,Good
817,Male,Yes,Yes,60.1,Good
826,Female,Yes,No,80.4,Good
835,Male,Yes,Yes,82.5,Good
836,Female,Yes,Yes,79.2,Good
837,Male,Yes,Yes,90.7,Good
840,Male,Yes,No,63.9,Good
846,Male,Yes,No,93.7,Good
850,Female,Yes,Yes,74.8,Good
851,Male,Yes,No,81.2,Good
863,Female,Yes,No,54.3,Good
866,Male,Yes,No,48.0,Good
872,Female,Yes,Yes,76.9,Good
877,Female,Yes,No,65.5,Good
880,Male,Yes,Yes,84.2,Good
884,Female,Yes,No,74.8,Good
889,Female,Yes,Yes,69.8,Good
891,Male,Yes,Yes,64.9,Good
892,Male,Yes,Yes,69.9,Good
896,Female,Yes,No,76.5,Good
897,Female,Yes,No,66.1,Good
908,Male,Yes,No,69.3,Good
910,Female,Yes,No,77.6,Good
911,Male,Yes,Yes,91.2,Good
916,Female,Yes,Yes,88.0,Good
917,Female,Yes,Yes,79.3,Good
918,Female,Yes,Yes,64.2,Good
920,Female,Yes,No,66.9,Good
923,Male,Yes,Yes,57.2,Good
938,Male,Yes,Yes,65.6,Good
945,Male,Yes,Yes,68.9,Good
953,Male,Yes,Yes,63.3,Good
957,Female,Yes,No,84.7,Good
967,Male,Yes,Yes,63.8,Good
971,Female,Yes,Yes,90.7,Good
990,Female,Yes,No,78.0,Good
999,Female,Yes,No,52.2,Good
